curr_codes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PLN,,,,,,2.48266,2.69585,3.2785,3.48975,3.96404,4.34514,4.09326,4.07486,3.88273,3.64765,3.23109,3.09947,2.76257,2.40317,3.11117,3.01071,2.95851,3.24903,3.15578,3.04971,,,,,
PYG,,,,1792.74286,1793,1793,2038.62978,2165.20548,2691.5589,3113.61644,3485.45082,4058.7937,5574.04904,6361.43863,5861.79781,6100.65595,5436.448,4880.68847,4256.66462,4886.24907,4660.68326,4100.6554,4331.05891,4219.48058,4510.65308,,,,,
QAR,,,,3.63928,3.63913,3.63941,3.63986,3.64002,3.6401,3.64026,3.6399,3.62724,3.63716,3.6374,3.63809,3.63764,3.62349,3.62827,3.63319,3.63501,3.63326,3.63663,3.62983,3.63268,3.63847,,,,,
RON,,,,,,0.24836,0.31135,0.71205,0.8864,1.53334,2.16627,2.87658,3.19811,3.23229,3.18346,2.88917,2.80021,2.42716,2.50751,3.03711,3.16946,3.04455,3.46671,3.32448,3.2973,,,,,
RSD,,,,,,1.66534,4.92146,4.9991,8.98995,10.91906,11.6095,48.30808,63.52876,57.67927,58.9607,66.96762,65.38393,56.89448,55.31626,67.18426,77.36886,72.93516,87.5502,84.75353,84.03452,,,,,
RUB,,,,,,4575.15714,5131.61749,5784.854,10.01829,24.8259,28.13427,29.17529,31.37993,30.67911,28.80389,28.2824,27.18127,25.57275,24.8484,31.62679,30.30874,29.33032,30.98624,31.81901,33.06714,,,,,
RWF,,,,,,,,,,,,,,,,,528.13482,531.49078,536.24402,557.85304,573.30989,590.2859,598.98442,638.55996,665.53408,,,,,
SAR,3.74998,3.75007,3.74996,3.75036,3.75026,3.75029,3.75028,3.75031,3.75056,3.75025,3.7504,3.75011,3.75003,3.74985,3.74964,3.75008,3.74973,3.74478,3.74618,3.74667,3.74443,3.74883,3.74893,3.74922,3.74998,,,,,
SBD,,,,,,3.3571,3.50634,3.64705,4.39126,4.85491,5.03165,5.21971,6.53034,7.35681,7.33942,7.30233,6.99028,6.9686,6.9686,7.21226,7.3976,7.01418,6.75895,7.16774,7.326,,,,,
SCR,,,,,4.97,4.97,4.97025,5.03477,5.25554,5.33231,5.69327,5.82067,5.44119,5.32546,5.20291,5.27124,5.35309,6.64262,9.19644,13.382,10.93207,11.68296,13.01111,11.36832,11.33087,,,,,
SDG,,,,,,,,,,,,,,,,,,1.94748,2.04611,2.29218,2.29821,2.63545,3.50975,4.53548,5.66655,,,,,
SEK,5.9145,6.04844,5.82552,7.78331,7.7141,7.13103,6.70311,7.63005,7.94518,8.26287,9.15963,10.32649,9.71531,8.07606,7.34381,7.46944,7.37261,6.75394,6.58672,7.64264,7.1998,6.48727,6.77061,6.51275,6.49981,,,,,
SGD,1.77556,1.72703,1.62858,1.61513,1.52671,1.41667,1.4093,1.48471,1.67102,1.69416,1.72354,1.79143,1.78998,1.74202,1.68997,1.66381,1.58877,1.50655,1.41484,1.45382,1.36297,1.25665,1.24936,1.25078,1.26677,,,,,
SHP,,,,,,1.59963,1.55351,1.64043,1.65879,1.61989,1.51744,1.21435,0.69403,0.68198,0.54676,0.54632,0.5728,0.5736,0.5736,0.5736,0.63073,0.62218,0.63137,0.64003,0.60756,,,,,
SLL,,,,,577,614.68767,683.31967,784.00822,903.04795,897.17205,698.92781,1890.0274,1961.77973,2288.43507,2463.44809,2355.67671,2350,2757.37592,2948.38369,3343.72701,3911.62263,4288.20036,4306.56557,4278.2411,4286.61538,,,,,
SOS,,,,,,2620,2620,2620,2620,2588.70532,2612.82044,2619.28178,2606.90923,2615.8726,2731.91667,2638.99647,1349.07732,1309.19049,1371.46172,1390.49644,1525.13367,1576.84079,1583.87803,1374.64989,1091.96077,,,,,
SRD,,,,,,0.42687,0.438,0.4083,0.401,0.63628,0.83655,1.11879,2.1711,2.45195,2.5024,2.53542,2.7,2.7,2.7,2.70579,2.71181,3.20711,3.25,3.25,3.25,,,,,
STD,,,,,,1572.55442,1933.05216,2100.86205,2390,2355.19641,2129.02973,3375.51904,8930.83233,8844.27616,8792.27322,8413.01082,6648.75633,11503.78167,14205.01011,15224.27699,17992.53041,17512.50548,18957.88852,18184.00877,17880.92308,,,,,
SVC,,,,,,8.75293,8.75511,8.75501,8.75378,8.72077,8.73704,8.75073,8.72511,8.73155,8.74742,8.72457,8.42436,8.49663,8.58828,8.58472,8.57903,8.70941,8.59938,8.57288,8.57428,,,,,
SYP,,,,21,22.77671,41.42493,41.94735,41.89411,41.84863,42.12243,45.98316,49.19864,48.04616,44.953,48.95079,51.43677,50.19661,50.24585,49.1633,45.53383,45.4237,47.24246,62.37816,101.4898,139.70769,,,,,
SZL,,,,3.36446,3.54801,3.62663,4.28557,4.60697,5.50142,6.13534,6.72261,8.55399,10.47071,7.51356,6.3944,6.33907,6.73006,7.01357,8.21226,8.41632,7.21231,7.17235,8.10915,9.63457,10.63838,,,,,
THB,,,,25.39058,25.1436,24.91066,25.34792,31.04492,41.17208,37.82053,40.14576,44.46587,42.95728,41.47454,40.20492,40.2115,37.86202,32.05365,32.70795,34.08424,31.50616,30.29383,30.909,30.64852,32.91778,,,,,
TJS,,,,,,,,,,,,,,,,,,,3.41481,4.14485,4.37903,4.60877,4.76221,4.76343,4.7736,,,,,
TMT,,,,,,,,,,,,,,,,,,,,2.85,2.85,2.85,2.85,2.85,2.85,,,,,
TND,,,,,,,0.97381,1.09765,1.13571,1.18353,1.36711,1.43188,1.40818,1.30981,1.27069,1.29585,1.31688,1.26434,1.21681,1.3274,1.41836,1.40106,1.557,1.62047,1.64912,,,,,
TOP,,,,,,1.3412,1.22845,1.25962,1.45165,1.5073,1.74915,2.12261,2.17833,2.13815,1.98084,1.93704,2.04009,2.0408,2.0408,1.98889,1.91723,1.75087,1.73428,1.78869,1.85732,,,,,
TRY,,,,0.01393,0.03014,0.04592,0.0817,0.15258,0.26188,0.42015,0.62403,1.20851,1.48719,1.47958,1.40873,1.34319,1.43029,1.30145,1.30192,1.55128,1.50537,1.6774,1.79955,1.90385,2.16725,,,,,
TTD,,,,,,5.69908,5.78806,6.13924,6.2279,6.20346,6.2316,6.14952,6.10369,6.14668,6.18694,6.24371,6.18961,6.15,6.06673,6.14085,6.23129,6.27243,6.2774,6.29851,6.30028,,,,,
TWD,,,,26.7505,26.44764,26.48227,27.45216,28.68653,33.4291,32.22361,31.15711,33.60034,34.53168,34.446,33.39234,32.10503,32.52045,32.8574,31.53035,33.00816,31.51538,29.26319,29.49007,29.63695,30.07396,,,,,
TZS,,,,,516.40162,559.47945,593.43169,604.89073,650.9404,736.90068,794.88248,865.82003,936.4154,1010.7743,1063.56694,1100.40805,1216.31082,1212.24033,1177.79492,1303.72375,1419.56247,1563.35403,1562.43754,1583.59375,1564.98308,,,,,
UAH,,,,,,,,1.86479,2.59064,4.29909,5.47604,5.37665,5.17974,5.18671,5.17868,5.04989,4.85399,4.88743,5.17542,7.95039,7.85211,7.88698,7.97582,8.05238,8.13698,,,,,
UGX,,,,,,1027.38571,1038.65301,1072.85616,1229.80027,1454.33836,1620.2377,1739.6834,1729.85578,1840.15764,1807.11391,1774.71844,1806.45712,1697.40312,1692.6326,2007.9386,2153.20649,2492.07008,2469.5518,2555.09488,2489.73308,,,,,
USD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
USN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UYI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UYU,,,,4.37325,5.00592,6.29147,7.92184,9.39226,10.40544,11.21321,11.385,12.83801,21.31783,28.24279,28.69364,24.40929,23.06776,22.74776,20.4376,22.19219,19.58284,18.82218,19.77799,19.96338,20.6569,,,,,
UZS,,,,,,,,,,,,,,,,,,1286.09073,1317.64322,1463.81049,1587.12186,1715.80844,1892.39964,2101.27564,2197.15,,,,,
VEF,,,,,,,,,,,,,,,,,,,2.14225,2.14266,4.20485,4.28968,4.2873,6.05772,6.28845,,,,,
VND,,,,,,11031.28512,11029.93033,11696.83836,13261.13699,13940.56301,14163.60328,14602.3589,14596.52877,14951.03288,15296.70765,15745.48356,15542.30986,15738.31644,16179.04126,17489.98027,18921.26521,20453.64959,20692.73689,20878.35479,20898.06923,,,,,
VUV,,,,,,112.56972,111.18555,115.32786,127.2281,128.70504,137.40167,144.6743,137.89441,121.44159,111.10577,107.85061,107.94322,97.73468,95.51038,102.90964,95.76789,89.88063,90.52604,92.68074,95.28462,,,,,
WST,,,,,,2.48406,2.4596,2.53901,2.92784,3.02249,3.06785,3.37301,3.4087,3.01999,2.78965,2.62174,2.74056,2.64787,2.59482,2.6803,2.44192,2.27265,2.26293,2.2691,2.2691,,,,,
XAF,,,,,544.65818,498.92199,510.33187,582.16849,589.26658,615.29749,709.52364,725.7181,677.7969,564.73247,507.28962,522.22479,505.85384,466.09239,439.30871,462.75689,485.46116,462.13888,503.07358,494.06448,480.60662,,,,,
XCD,,,,,,,,,,4.08468,2.69167,2.67068,2.66829,2.66619,2.66806,2.66692,2.65288,2.6509,2.63616,2.63009,2.65153,2.67808,2.6882,2.6882,2.6882,,,,,
XDR,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,
XOF,,,,,,489.28599,507.79699,578.06266,588.57092,614.39277,710.99635,728.89452,692.58805,579.42742,528.22893,522.69154,505.55408,466.14475,439.25729,462.88993,486.17596,462.50606,503.06823,494.09438,480.608,,,,,
XPF,,,,,,,,,,123.40372,126.38854,133.28347,126.6117,105.38123,96.11159,95.92609,91.87749,84.74022,79.84004,84.0606,88.62332,84.64424,91.86272,89.76699,87.35185,,,,,
YER,,,,,,,,,,,,,174.16531,177.91721,181.98189,181.45064,180.18489,187.9101,198.78482,200.75812,216.12867,213.3657,213.931,214.53274,214.78515,,,,,
ZAR,2.58739,2.76169,2.85123,3.2678,3.5488,3.62704,4.29621,4.6072,5.53396,6.10686,6.93388,8.60105,10.48516,7.53459,6.42277,6.34266,6.7505,7.03077,8.23218,8.40084,7.30053,7.23125,8.19734,9.63485,10.63838,,,,,
ZMK,,,,,682.45,867.62286,1206.01954,1315.37534,1858.7274,2469.93093,2780,2796.01644,4282.29096,4750.06164,4743.16393,4407.81921,3417.3914,3878.36742,3678.63992,4977.20773,4727.69795,4791.27186,5066.36505,5175.69775,5176.2,,,,,
ZWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
