curr_codes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BHD,,,,0.37696,0.377,0.37699,0.37695,0.37699,0.377,0.37701,0.37699,0.37679,0.37641,0.37648,0.37652,0.37684,0.37399,0.37431,0.37457,0.37494,0.37499,0.37527,0.3736,0.37416,0.37477,,,,,
BIF,,,,,257.56602,248.63259,299.4769,320.37,369.24593,441.36973,676.12861,800.34117,888.00252,1030.0463,1053.0276,1014.2664,949.8808,1049.78,1155.1335,1201.30833,1209.0383,1217.61436,1385.06265,1529.38981,1529.14923,,,,,
BMD,,,,,,1,1,1,1,0.99802,1.01312,0.98976,0.99726,0.9938,1.00067,1.00132,0.99867,0.9909,0.99549,0.99993,1,1,1,1,1,,,,,
BND,,,,,,1.39991,1.40934,1.4761,1.68017,1.69402,1.72337,1.78015,1.7919,1.73489,1.67845,1.64763,1.56424,1.48645,1.39808,1.43658,1.3457,1.23974,1.23076,1.23295,1.24915,,,,,
BOB,,,,,,4.79773,5.08728,5.2631,5.51805,5.78907,6.12667,6.52539,6.89551,7.43248,7.72016,7.96426,7.72707,7.63478,7.09683,6.88368,6.87545,6.85699,6.82521,6.80881,6.76372,,,,,
BOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRL,,,,,,0.96469,1.00463,1.07764,1.16018,1.80986,1.82876,2.32776,2.87236,3.03788,2.92412,2.43199,2.17193,1.94484,1.82908,1.99241,1.75347,1.66976,1.95076,2.15456,2.36917,,,,,
BSD,,,,,,1,1,1,1,0.9989,1,1,0.99348,0.99728,0.99649,0.99484,0.99898,0.9877,0.9877,0.9877,0.99434,0.99527,0.99499,0.99507,0.99486,,,,,
BTN,,,,,,32.75316,35.78851,36.14151,41.34559,42.99353,45.22483,46.95301,48.28571,46.56739,45.253,45.03555,44.2949,43.94652,43.37259,48.3319,45.67711,46.55596,53.32192,58.51345,62.04682,,,,,
BWP,,,,2.53669,2.6682,2.75366,3.30815,3.63535,4.21658,4.61263,5.07094,5.69073,6.21058,4.91283,4.6805,5.09498,5.67332,6.01381,6.73162,7.0292,6.6739,6.7238,7.49342,8.2791,8.71906,,,,,
BYR,,,,,,,,,,,,,,,,,2150.65465,2150.5,2150.5,2792.32712,2961.89271,5088.48014,8298.19415,8849.51049,9514.32231,,,,,
BZD,,,,,,2,2.00003,2,2,1.98584,1.98429,1.97085,1.96959,1.96721,1.96669,1.95318,1.89457,1.91637,1.92592,1.92783,1.93309,1.94077,1.90641,1.95554,1.95343,,,,,
CAD,1.16651,1.14572,1.20809,1.28956,1.36569,1.37191,1.36318,1.38433,1.48296,1.48494,1.48428,1.54819,1.5696,1.40015,1.30082,1.21109,1.13403,1.07384,1.06604,1.14106,1.03019,0.98883,0.99964,1.0298,1.07244,,,,,
CDF,,,,,,,,,,,,,,,,,426.88531,427,450.56844,774.01429,879.09051,908.75553,904.53425,905.61698,906.826,,,,,
CHF,1.38835,1.43471,1.40541,1.47727,1.3667,1.18125,1.23574,1.44959,1.44898,1.5024,1.68754,1.6864,1.55564,1.34448,1.24239,1.24531,1.25314,1.19991,1.08258,1.08524,1.04286,0.88655,0.93766,0.92675,0.90193,,,,,
CLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLP,,,,418.5125,419.81014,396.48692,412.02735,419.15237,460.1411,508.78822,539.34833,628.70265,672.15101,682.22745,597.25899,557.59797,521.22327,522.0258,521.13437,549.79925,501.13267,481.57995,486.39331,495.04313,529.51608,,,,,
CNY,,,,5.79338,8.56513,8.35051,8.31416,8.28978,8.27891,8.27609,8.27841,8.27426,8.26691,8.26715,8.26636,8.18376,7.9646,7.59719,6.94035,6.82119,6.76053,6.4544,6.30336,6.19049,6.10146,,,,,
COP,,,,,,993.44162,1035.75376,1141.76318,1426.34433,1755.962,2087.32697,2277.85778,2431.31014,2813.8737,2581.60246,2312.77605,2296.37515,2033.2151,1938.99913,2129.63666,1877.31562,1827.48559,1786.88117,1868.60981,1931.16769,,,,,
COU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
